cycle,core_id,old_state,new_state,workload_idx,layer_name,detail
11021,1,IDLE,LOADING,16,conv_2_0_c,"waiting_for=[t101(DRAM,8192B),t98(DRAM,100352B),t105(DRAM,100352B)]"
11049,0,LOADING,COMPUTING,16,conv_2_0_c,"compute_cycles=0,loading_dram_cycles=258,loading_core_cycles=0"
11050,0,COMPUTING,WRITEBACK,16,conv_2_0_c,"writeback_to_dram"
11143,3,LOADING,COMPUTING,14,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=332,loading_core_cycles=0"
11144,3,COMPUTING,WRITEBACK,14,conv_2_0_b,"writeback_to_dram"
11213,3,WRITEBACK,IDLE,15,conv_2_0_b,"writeback_complete"
11214,3,IDLE,LOADING,15,conv_2_0_b,"waiting_for=[t75(DRAM,18432B),t88(DRAM,103936B),t95(DRAM,100352B)]"
11269,2,LOADING,COMPUTING,15,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=268,loading_core_cycles=0"
11270,2,COMPUTING,WRITEBACK,15,conv_2_0_b,"writeback_to_dram"
11347,1,LOADING,COMPUTING,16,conv_2_0_c,"compute_cycles=0,loading_dram_cycles=326,loading_core_cycles=0"
11348,1,COMPUTING,WRITEBACK,16,conv_2_0_c,"writeback_to_dram"
11380,0,WRITEBACK,IDLE,17,conv_2_0_c,"writeback_complete"
11381,0,IDLE,LOADING,17,conv_2_0_c,"waiting_for=[t94(DRAM,8192B),t102(DRAM,100352B),t108(DRAM,100352B)]"
11399,2,WRITEBACK,IDLE,16,conv_2_0_c,"writeback_complete"
11400,2,IDLE,LOADING,16,conv_2_0_c,"waiting_for=[t94(DRAM,8192B),t98(DRAM,100352B),t105(DRAM,100352B)]"
11498,3,LOADING,COMPUTING,15,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=284,loading_core_cycles=0"
11499,3,COMPUTING,WRITEBACK,15,conv_2_0_b,"writeback_to_dram"
11639,0,LOADING,COMPUTING,17,conv_2_0_c,"compute_cycles=0,loading_dram_cycles=258,loading_core_cycles=0"
11640,0,COMPUTING,WRITEBACK,17,conv_2_0_c,"writeback_to_dram"
11642,1,WRITEBACK,IDLE,17,conv_2_0_c,"writeback_complete"
11643,1,IDLE,LOADING,17,conv_2_0_c,"waiting_for=[t101(DRAM,8192B),t105(DRAM,100352B),t111(DRAM,100352B)]"
11661,3,WRITEBACK,IDLE,16,conv_2_0_c,"writeback_complete"
11662,3,IDLE,LOADING,16,conv_2_0_c,"waiting_for=[t101(DRAM,8192B),t95(DRAM,100352B),t102(DRAM,100352B)]"
